Begin to read solar wind speed, IMF, AE and Dst
F16, 2011-015, 37369
F16, 2011-015, 37374
F16, 2011-015, 37375
F16, 2011-015, 37376
F16, 2011-015, 37377
F16, 2011-015, 37378
F16, 2011-015, 37379
F16, 2011-015, 37380
F16, 2011-016, 37381
F16, 2011-016, 37382
F16, 2011-016, 37383
F16, 2011-016, 37384
F16, 2011-016, 37386
F16, 2011-016, 37388
F16, 2011-016, 37389
F16, 2011-016, 37390
F16, 2011-016, 37391
F16, 2011-016, 37392
F16, 2011-016, 37393
F16, 2011-016, 37394
F16, 2011-017, 37395
F16, 2011-017, 37396
F16, 2011-017, 37397
F16, 2011-017, 37400
F16, 2011-017, 37402
F16, 2011-017, 37403
F16, 2011-017, 37404
F16, 2011-017, 37405
F16, 2011-017, 37406
F16, 2011-017, 37407
F16, 2011-017, 37408
F16, 2011-018, 37409
F16, 2011-018, 37410
F16, 2011-018, 37411
F16, 2011-018, 37414
F16, 2011-018, 37415
F16, 2011-018, 37416
F16, 2011-018, 37417
F16, 2011-018, 37418
F16, 2011-018, 37419
F16, 2011-018, 37420
F16, 2011-018, 37421
F16, 2011-018, 37422
F16, 2011-019, 37423
F16, 2011-019, 37424
F16, 2011-019, 37425
F16, 2011-019, 37428
F16, 2011-019, 37429
F16, 2011-019, 37431
F16, 2011-019, 37432
F16, 2011-019, 37433
F16, 2011-019, 37434
F16, 2011-019, 37435
F16, 2011-019, 37436
F16, 2011-020, 37437
F16, 2011-020, 37438
F16, 2011-020, 37439
F16, 2011-020, 37442
F16, 2011-020, 37443
F16, 2011-020, 37445
F16, 2011-020, 37446
F16, 2011-020, 37447
F16, 2011-020, 37448
F16, 2011-020, 37449
F16, 2011-020, 37450
F16, 2011-021, 37459
F16, 2011-021, 37451
F16, 2011-021, 37452
F16, 2011-021, 37453
F16, 2011-021, 37456
F16, 2011-021, 37458
F16, 2011-021, 37460
F16, 2011-021, 37461
F16, 2011-021, 37462
F16, 2011-021, 37463
F16, 2011-021, 37464
F16, 2011-022, 37467
F16, 2011-022, 37468
F16, 2011-022, 37470
F16, 2011-022, 37471
F16, 2011-022, 37472
F16, 2011-022, 37473
F16, 2011-022, 37474
F16, 2011-022, 37475
F16, 2011-022, 37476
F16, 2011-022, 37478
F16, 2011-022, 37479
F16, 2011-023, 37480
F16, 2011-023, 37481
F16, 2011-023, 37482
F16, 2011-023, 37485
F16, 2011-023, 37486
F16, 2011-023, 37487
F16, 2011-023, 37488
F16, 2011-023, 37489
F16, 2011-023, 37490
F16, 2011-023, 37491
F16, 2011-023, 37492
F16, 2011-023, 37493
F16, 2011-024, 37494
F16, 2011-024, 37495
F16, 2011-024, 37496
F16, 2011-024, 37499
F16, 2011-024, 37501
F16, 2011-024, 37502
F16, 2011-024, 37503
F16, 2011-024, 37506
F16, 2011-024, 37507
F16, 2011-025, 37508
F16, 2011-025, 37511
F16, 2011-025, 37513
F16, 2011-025, 37515
F16, 2011-025, 37516
F16, 2011-025, 37517
F16, 2011-025, 37518
F16, 2011-025, 37519
F16, 2011-025, 37520
F16, 2011-025, 37521
F16, 2011-026, 37522
F16, 2011-026, 37527
F16, 2011-026, 37529
F16, 2011-026, 37530
F16, 2011-026, 37531
F16, 2011-026, 37532
F16, 2011-026, 37534
F16, 2011-026, 37535
F16, 2011-027, 37536
F16, 2011-027, 37537
F16, 2011-027, 37538
F16, 2011-027, 37541
F16, 2011-027, 37542
F16, 2011-027, 37544
F16, 2011-027, 37545
F16, 2011-027, 37546
F16, 2011-027, 37547
F16, 2011-027, 37548
F16, 2011-027, 37549
F16, 2011-028, 37550
F16, 2011-028, 37551
F16, 2011-028, 37552
F16, 2011-028, 37555
F16, 2011-028, 37556
F16, 2011-028, 37558
F16, 2011-028, 37561
F16, 2011-028, 37562
F16, 2011-029, 37565
F16, 2011-029, 37566
F16, 2011-029, 37567
F16, 2011-029, 37568
F16, 2011-029, 37569
F16, 2011-029, 37570
F16, 2011-029, 37572
F16, 2011-029, 37573
F16, 2011-029, 37574
F16, 2011-029, 37575
F16, 2011-029, 37576
F16, 2011-029, 37577
F16, 2011-029, 37578
F16, 2011-030, 37579
F16, 2011-030, 37580
F16, 2011-030, 37581
F16, 2011-030, 37583
F16, 2011-030, 37584
F16, 2011-030, 37586
F16, 2011-030, 37587
F16, 2011-030, 37588
F16, 2011-030, 37589
F16, 2011-030, 37590
F16, 2011-030, 37591
F16, 2011-030, 37592
F16, 2011-031, 37593
F16, 2011-031, 37594
F16, 2011-031, 37595
F16, 2011-031, 37598
F16, 2011-031, 37599
F16, 2011-031, 37600
F16, 2011-031, 37604
F16, 2011-031, 37605
F16, 2011-031, 37606
F16, 2011-032, 37607
F16, 2011-032, 37608
F16, 2011-032, 37609
F16, 2011-032, 37610
F16, 2011-032, 37612
F16, 2011-032, 37614
F16, 2011-032, 37615
F16, 2011-032, 37616
F16, 2011-032, 37618
F16, 2011-032, 37620
F16, 2011-033, 37621
F16, 2011-033, 37622
F16, 2011-033, 37623
F16, 2011-033, 37624
F16, 2011-033, 37626
F16, 2011-033, 37628
F16, 2011-033, 37629
F16, 2011-033, 37630
F16, 2011-033, 37633
F16, 2011-033, 37634
F16, 2011-034, 37635
F16, 2011-034, 37636
F16, 2011-034, 37637
F16, 2011-034, 37640
F16, 2011-034, 37642
F16, 2011-034, 37643
F16, 2011-034, 37646
F16, 2011-034, 37647
F16, 2011-034, 37648
F16, 2011-035, 37649
F16, 2011-035, 37650
F16, 2011-035, 37651
F16, 2011-035, 37654
F16, 2011-035, 37655
F16, 2011-035, 37657
F16, 2011-035, 37658
F16, 2011-035, 37659
F16, 2011-035, 37660
F16, 2011-035, 37661
F16, 2011-036, 37663
F16, 2011-036, 37664
F16, 2011-036, 37665
F16, 2011-036, 37666
F16, 2011-036, 37668
F16, 2011-036, 37669
F16, 2011-036, 37671
F16, 2011-036, 37672
F16, 2011-036, 37673
F16, 2011-036, 37674
F16, 2011-036, 37675
F16, 2011-036, 37676
F16, 2011-037, 37685
F16, 2011-037, 37677
F16, 2011-037, 37678
F16, 2011-037, 37679
F16, 2011-037, 37680
F16, 2011-037, 37682
F16, 2011-037, 37683
F16, 2011-037, 37687
F16, 2011-037, 37688
F16, 2011-037, 37689
F16, 2011-037, 37690
F16, 2011-037, 37691
F16, 2011-038, 37692
F16, 2011-038, 37695
F16, 2011-038, 37696
F16, 2011-038, 37697
F16, 2011-038, 37703
F16, 2011-038, 37704
F16, 2011-038, 37705
F16, 2011-039, 37706
F16, 2011-039, 37707
F16, 2011-039, 37708
F16, 2011-039, 37711
F16, 2011-039, 37713
F16, 2011-039, 37714
F16, 2011-039, 37715
F16, 2011-039, 37716
F16, 2011-039, 37717
F16, 2011-039, 37718
F16, 2011-039, 37719
F16, 2011-040, 37720
F16, 2011-040, 37725
F16, 2011-040, 37727
F16, 2011-040, 37728
F16, 2011-040, 37729
F16, 2011-040, 37730
F16, 2011-040, 37731
F16, 2011-040, 37732
F16, 2011-040, 37733
F16, 2011-041, 37734
F16, 2011-041, 37735
F16, 2011-041, 37736
F16, 2011-041, 37739
F16, 2011-041, 37741
F16, 2011-041, 37742
F16, 2011-041, 37743
F16, 2011-041, 37744
F16, 2011-041, 37745
F16, 2011-041, 37746
F16, 2011-041, 37747
F16, 2011-042, 37748
F16, 2011-042, 37749
F16, 2011-042, 37750
F16, 2011-042, 37753
F16, 2011-042, 37754
F16, 2011-042, 37755
F16, 2011-042, 37756
F16, 2011-042, 37757
F16, 2011-042, 37758
F16, 2011-042, 37759
F16, 2011-042, 37760
F16, 2011-042, 37761
F16, 2011-043, 37762
F16, 2011-043, 37763
F16, 2011-043, 37764
F16, 2011-043, 37765
F16, 2011-043, 37767
F16, 2011-043, 37769
F16, 2011-043, 37770
F16, 2011-043, 37771
F16, 2011-043, 37772
F16, 2011-043, 37773
F16, 2011-043, 37774
F16, 2011-043, 37775
F16, 2011-044, 37776
F16, 2011-044, 37777
F16, 2011-044, 37778
F16, 2011-044, 37779
F16, 2011-044, 37781
F16, 2011-044, 37782
F16, 2011-044, 37784
F16, 2011-044, 37785
F16, 2011-044, 37786
F16, 2011-044, 37787
F16, 2011-044, 37788
F16, 2011-044, 37789
F16, 2011-045, 37798
F16, 2011-045, 37790
F16, 2011-045, 37791
F16, 2011-045, 37792
F16, 2011-045, 37795
F16, 2011-045, 37797
F16, 2011-045, 37799
F16, 2011-045, 37800
F16, 2011-045, 37801
F16, 2011-045, 37802
F16, 2011-045, 37803
F16, 2011-046, 37805
F16, 2011-046, 37806
F16, 2011-046, 37807
F16, 2011-046, 37809
F16, 2011-046, 37810
F16, 2011-046, 37812
F16, 2011-046, 37813
F16, 2011-046, 37814
F16, 2011-046, 37815
F16, 2011-046, 37816
F16, 2011-046, 37817
F16, 2011-046, 37818
F16, 2011-047, 37819
F16, 2011-047, 37820
F16, 2011-047, 37821
F16, 2011-047, 37823
F16, 2011-047, 37824
F16, 2011-047, 37826
F16, 2011-047, 37827
F16, 2011-047, 37829
F16, 2011-047, 37830
F16, 2011-047, 37831
F16, 2011-047, 37832
F16, 2011-048, 37833
F16, 2011-049, 37847
F16, 2011-049, 37849
F16, 2011-049, 37850
F16, 2011-049, 37852
F16, 2011-049, 37854
F16, 2011-049, 37855
F16, 2011-049, 37856
F16, 2011-049, 37857
F16, 2011-049, 37858
F16, 2011-049, 37859
F16, 2011-049, 37860
F16, 2011-050, 37869
F16, 2011-050, 37861
F16, 2011-050, 37862
F16, 2011-050, 37863
F16, 2011-050, 37866
F16, 2011-050, 37868
F16, 2011-050, 37870
F16, 2011-050, 37871
F16, 2011-050, 37872
F16, 2011-050, 37873
F16, 2011-050, 37874
F16, 2011-051, 37876
F16, 2011-051, 37877
F16, 2011-051, 37878
F16, 2011-051, 37880
F16, 2011-051, 37881
F16, 2011-051, 37882
F16, 2011-051, 37883
F16, 2011-051, 37884
F16, 2011-051, 37885
F16, 2011-051, 37886
F16, 2011-051, 37887
F16, 2011-051, 37888
F16, 2011-052, 37889
F16, 2011-052, 37890
F16, 2011-052, 37891
F16, 2011-052, 37892
F16, 2011-052, 37894
F16, 2011-052, 37895
F16, 2011-052, 37897
F16, 2011-052, 37898
F16, 2011-052, 37899
F16, 2011-052, 37900
F16, 2011-052, 37901
F16, 2011-052, 37902
F16, 2011-053, 37911
F16, 2011-053, 37903
F16, 2011-053, 37904
F16, 2011-053, 37905
F16, 2011-053, 37906
F16, 2011-053, 37908
F16, 2011-053, 37909
F16, 2011-053, 37912
F16, 2011-053, 37913
F16, 2011-053, 37914
F16, 2011-053, 37915
F16, 2011-053, 37916
F16, 2011-053, 37917
F16, 2011-054, 37918
F16, 2011-054, 37919
F16, 2011-054, 37920
F16, 2011-054, 37922
F16, 2011-054, 37923
F16, 2011-054, 37924
F16, 2011-054, 37925
F16, 2011-054, 37928
F16, 2011-054, 37929
F16, 2011-054, 37930
F16, 2011-054, 37931
F16, 2011-055, 37932
F16, 2011-055, 37933
F16, 2011-055, 37934
F16, 2011-055, 37936
F16, 2011-055, 37938
F16, 2011-055, 37939
F16, 2011-055, 37940
F16, 2011-055, 37941
F16, 2011-055, 37942
F16, 2011-055, 37943
F16, 2011-055, 37944
F16, 2011-055, 37945
F16, 2011-056, 37946
F16, 2011-056, 37947
F16, 2011-056, 37948
F16, 2011-056, 37950
F16, 2011-056, 37951
F16, 2011-056, 37953
F16, 2011-056, 37954
F16, 2011-056, 37955
F16, 2011-056, 37956
F16, 2011-056, 37957
F16, 2011-056, 37958
F16, 2011-056, 37959
F16, 2011-057, 37960
F16, 2011-057, 37961
F16, 2011-057, 37962
F16, 2011-057, 37963
F16, 2011-057, 37964
F16, 2011-057, 37968
F16, 2011-057, 37969
F16, 2011-057, 37970
F16, 2011-057, 37971
F16, 2011-057, 37972
F16, 2011-058, 37975
F16, 2011-058, 37976
F16, 2011-058, 37977
F16, 2011-058, 37979
F16, 2011-058, 37981
F16, 2011-058, 37982
F16, 2011-058, 37983
F16, 2011-058, 37984
F16, 2011-058, 37985
F16, 2011-058, 37986
F16, 2011-058, 37987
F16, 2011-059, 37988
F16, 2011-059, 37989
F16, 2011-059, 37990
F16, 2011-059, 37991
F16, 2011-059, 37992
F16, 2011-059, 37993
F16, 2011-059, 37995
F16, 2011-059, 37996
F16, 2011-059, 37997
F16, 2011-059, 37998
F16, 2011-059, 37999
F16, 2011-060, 38010
F16, 2011-060, 38002
F16, 2011-060, 38003
F16, 2011-060, 38004
F16, 2011-060, 38005
F16, 2011-060, 38007
F16, 2011-060, 38008
F16, 2011-060, 38011
F16, 2011-060, 38012
F16, 2011-060, 38013
F16, 2011-060, 38014
F16, 2011-061, 38017
F16, 2011-061, 38018
F16, 2011-061, 38019
F16, 2011-061, 38021
F16, 2011-061, 38022
F16, 2011-061, 38024
F16, 2011-061, 38025
F16, 2011-061, 38026
F16, 2011-061, 38027
F16, 2011-061, 38028
F16, 2011-061, 38029
F16, 2011-061, 38030
F16, 2011-062, 38031
F16, 2011-062, 38032
F16, 2011-062, 38033
F16, 2011-062, 38034
F16, 2011-062, 38035
F16, 2011-062, 38036
F16, 2011-062, 38038
F16, 2011-062, 38039
F16, 2011-062, 38040
F16, 2011-062, 38043
F16, 2011-062, 38044
F16, 2011-063, 38045
F16, 2011-063, 38046
F16, 2011-063, 38047
F16, 2011-063, 38048
F16, 2011-063, 38049
F16, 2011-063, 38050
F16, 2011-063, 38052
F16, 2011-063, 38053
F16, 2011-063, 38054
F16, 2011-063, 38055
F16, 2011-063, 38056
F16, 2011-063, 38057
F16, 2011-063, 38058
F16, 2011-064, 38059
F16, 2011-064, 38060
F16, 2011-064, 38061
F16, 2011-064, 38062
F16, 2011-064, 38063
F16, 2011-064, 38064
F16, 2011-064, 38066
F16, 2011-064, 38067
F16, 2011-064, 38068
F16, 2011-064, 38069
F16, 2011-064, 38070
F16, 2011-064, 38071
F16, 2011-064, 38072
F16, 2011-065, 38073
F16, 2011-065, 38074
F16, 2011-065, 38075
F16, 2011-065, 38078
F16, 2011-065, 38080
F16, 2011-065, 38081
F16, 2011-065, 38082
F16, 2011-065, 38083
F16, 2011-065, 38084
F16, 2011-065, 38085
F16, 2011-065, 38086
F16, 2011-066, 38087
F16, 2011-066, 38088
F16, 2011-066, 38089
F16, 2011-066, 38090
F16, 2011-066, 38092
F16, 2011-066, 38094
F16, 2011-066, 38095
F16, 2011-066, 38096
F16, 2011-066, 38097
F16, 2011-066, 38098
F16, 2011-066, 38099
F16, 2011-066, 38100
F16, 2011-067, 38101
F16, 2011-067, 38102
F16, 2011-067, 38103
F16, 2011-067, 38104
F16, 2011-067, 38105
F16, 2011-067, 38106
F16, 2011-067, 38108
F16, 2011-067, 38109
F16, 2011-067, 38110
F16, 2011-067, 38111
F16, 2011-067, 38112
F16, 2011-067, 38113
F16, 2011-067, 38114
F16, 2011-068, 38123
F16, 2011-068, 38115
F16, 2011-068, 38116
F16, 2011-068, 38117
F16, 2011-068, 38118
F16, 2011-068, 38120
F16, 2011-068, 38121
F16, 2011-068, 38124
F16, 2011-068, 38125
F16, 2011-068, 38126
F16, 2011-068, 38127
F16, 2011-068, 38128
F16, 2011-069, 38130
F16, 2011-069, 38131
F16, 2011-069, 38132
F16, 2011-069, 38134
F16, 2011-069, 38135
F16, 2011-069, 38137
F16, 2011-069, 38138
F16, 2011-069, 38139
F16, 2011-069, 38140
F16, 2011-069, 38141
F16, 2011-069, 38142
F16, 2011-069, 38143
F16, 2011-070, 38144
F16, 2011-070, 38145
F16, 2011-070, 38146
F16, 2011-070, 38147
F16, 2011-070, 38149
F16, 2011-070, 38150
F16, 2011-070, 38151
F16, 2011-070, 38152
F16, 2011-070, 38153
F16, 2011-070, 38154
F16, 2011-070, 38155
F16, 2011-070, 38156
F16, 2011-070, 38157
F16, 2011-071, 38158
F16, 2011-071, 38159
F16, 2011-071, 38160
F16, 2011-071, 38161
F16, 2011-071, 38162
F16, 2011-071, 38164
F16, 2011-071, 38165
F16, 2011-071, 38166
F16, 2011-071, 38167
F16, 2011-071, 38168
F16, 2011-071, 38169
F16, 2011-071, 38171
F16, 2011-072, 38172
F16, 2011-072, 38173
F16, 2011-072, 38174
F16, 2011-072, 38175
F16, 2011-072, 38176
F16, 2011-072, 38177
F16, 2011-072, 38178
F16, 2011-072, 38179
F16, 2011-072, 38180
F16, 2011-072, 38181
F16, 2011-072, 38182
F16, 2011-072, 38183
F16, 2011-072, 38184
F16, 2011-072, 38185
F16, 2011-073, 38186
F16, 2011-073, 38187
F16, 2011-073, 38188
F16, 2011-073, 38189
F16, 2011-073, 38190
F16, 2011-073, 38191
F16, 2011-073, 38193
F16, 2011-073, 38194
F16, 2011-073, 38195
F16, 2011-073, 38196
F16, 2011-073, 38197
F16, 2011-073, 38198
F16, 2011-073, 38199
F16, 2011-074, 38200
F16, 2011-074, 38201
F16, 2011-074, 38202
F16, 2011-074, 38204
F16, 2011-074, 38205
F16, 2011-074, 38207
F16, 2011-074, 38208
F16, 2011-074, 38209
F16, 2011-074, 38210
F16, 2011-074, 38211
F16, 2011-074, 38212
F16, 2011-074, 38213
F16, 2011-075, 38214
F16, 2011-075, 38215
F16, 2011-075, 38216
F16, 2011-075, 38217
F16, 2011-075, 38218
F16, 2011-075, 38219
F16, 2011-075, 38221
F16, 2011-075, 38222
F16, 2011-075, 38223
F16, 2011-075, 38224
F16, 2011-075, 38225
F16, 2011-075, 38226
F16, 2011-075, 38227
F16, 2011-076, 38236
F16, 2011-076, 38228
F16, 2011-076, 38229
F16, 2011-076, 38230
F16, 2011-076, 38231
F16, 2011-076, 38233
F16, 2011-076, 38234
F16, 2011-076, 38237
F16, 2011-076, 38238
F16, 2011-076, 38239
F16, 2011-076, 38240
F16, 2011-076, 38241
F16, 2011-077, 38243
F16, 2011-077, 38244
F16, 2011-077, 38245
F16, 2011-077, 38247
F16, 2011-077, 38249
F16, 2011-077, 38251
F16, 2011-077, 38252
F16, 2011-077, 38253
F16, 2011-077, 38254
F16, 2011-077, 38255
F16, 2011-077, 38256
F16, 2011-078, 38257
F16, 2011-078, 38258
F16, 2011-078, 38259
F16, 2011-078, 38260
F16, 2011-078, 38261
F16, 2011-078, 38262
F16, 2011-078, 38264
F16, 2011-078, 38265
F16, 2011-078, 38266
F16, 2011-078, 38267
F16, 2011-078, 38268
F16, 2011-078, 38269
F16, 2011-078, 38270
F16, 2011-079, 38271
F16, 2011-079, 38272
F16, 2011-079, 38273
F16, 2011-079, 38274
F16, 2011-079, 38275
F16, 2011-079, 38278
F16, 2011-079, 38279
F16, 2011-079, 38280
F16, 2011-079, 38281
F16, 2011-079, 38282
F16, 2011-079, 38283
F16, 2011-079, 38284
F16, 2011-080, 38285
F16, 2011-080, 38286
F16, 2011-080, 38287
F16, 2011-080, 38288
F16, 2011-080, 38292
F16, 2011-080, 38293
F16, 2011-080, 38294
F16, 2011-080, 38295
F16, 2011-081, 38299
F16, 2011-081, 38300
F16, 2011-081, 38301
F16, 2011-081, 38302
F16, 2011-081, 38303
F16, 2011-081, 38304
F16, 2011-081, 38306
F16, 2011-081, 38307
F16, 2011-081, 38308
F16, 2011-081, 38309
F16, 2011-081, 38310
F16, 2011-081, 38311
F16, 2011-081, 38312
F16, 2011-082, 38313
F16, 2011-082, 38314
F16, 2011-082, 38315
F16, 2011-082, 38316
F16, 2011-082, 38317
F16, 2011-082, 38319
F16, 2011-082, 38320
F16, 2011-082, 38321
F16, 2011-082, 38322
F16, 2011-082, 38323
F16, 2011-082, 38324
F16, 2011-082, 38325
F16, 2011-082, 38326
F16, 2011-083, 38327
F16, 2011-083, 38328
F16, 2011-083, 38329
F16, 2011-083, 38330
F16, 2011-083, 38331
F16, 2011-083, 38332
F16, 2011-083, 38334
F16, 2011-083, 38335
F16, 2011-083, 38336
F16, 2011-083, 38337
F16, 2011-083, 38338
F16, 2011-083, 38339
F16, 2011-083, 38340
F16, 2011-084, 38349
F16, 2011-084, 38341
F16, 2011-084, 38342
F16, 2011-084, 38343
F16, 2011-084, 38344
F16, 2011-084, 38346
F16, 2011-084, 38347
F16, 2011-084, 38352
F16, 2011-084, 38353
F16, 2011-085, 38364
F16, 2011-085, 38367
F16, 2011-085, 38368
F16, 2011-085, 38369
F16, 2011-086, 38370
F16, 2011-086, 38371
F16, 2011-086, 38372
F16, 2011-086, 38373
F16, 2011-086, 38374
F16, 2011-086, 38375
F16, 2011-086, 38377
F16, 2011-086, 38378
F16, 2011-086, 38379
F16, 2011-086, 38380
F16, 2011-086, 38381
F16, 2011-086, 38382
F16, 2011-086, 38383
F16, 2011-087, 38392
F16, 2011-087, 38393
F16, 2011-087, 38394
F16, 2011-087, 38395
F16, 2011-088, 38398
F16, 2011-088, 38399
F16, 2011-088, 38400
F16, 2011-088, 38401
F16, 2011-088, 38402
F16, 2011-088, 38405
F16, 2011-088, 38406
F16, 2011-088, 38407
F16, 2011-088, 38408
F16, 2011-088, 38409
F16, 2011-088, 38410
F16, 2011-088, 38411
F16, 2011-089, 38412
F16, 2011-089, 38415
F16, 2011-089, 38416
F16, 2011-089, 38418
F16, 2011-089, 38419
F16, 2011-089, 38420
F16, 2011-089, 38421
F16, 2011-089, 38422
F16, 2011-089, 38423
F16, 2011-089, 38424
F16, 2011-089, 38425
F16, 2011-090, 38426
F16, 2011-090, 38427
F16, 2011-090, 38428
F16, 2011-090, 38429
F16, 2011-090, 38430
F16, 2011-090, 38431
F16, 2011-090, 38433
F16, 2011-090, 38434
F16, 2011-090, 38435
F16, 2011-090, 38436
F16, 2011-090, 38439
F16, 2011-091, 38440
F16, 2011-091, 38441
F16, 2011-091, 38442
F16, 2011-091, 38443
F16, 2011-091, 38445
F16, 2011-091, 38447
F16, 2011-091, 38448
F16, 2011-091, 38449
F16, 2011-091, 38450
F16, 2011-091, 38451
F16, 2011-091, 38452
F16, 2011-091, 38453
F16, 2011-092, 38454
F16, 2011-092, 38455
F16, 2011-092, 38456
F16, 2011-092, 38457
F16, 2011-092, 38461
F16, 2011-092, 38462
F16, 2011-092, 38464
F16, 2011-092, 38465
F16, 2011-092, 38466
F16, 2011-092, 38467
F16, 2011-093, 38469
F16, 2011-093, 38470
F16, 2011-093, 38471
F16, 2011-093, 38473
F16, 2011-093, 38475
F16, 2011-093, 38476
F16, 2011-093, 38477
F16, 2011-093, 38478
F16, 2011-093, 38479
F16, 2011-093, 38480
F16, 2011-093, 38481
F16, 2011-093, 38482
F16, 2011-094, 38483
F16, 2011-094, 38484
F16, 2011-094, 38485
F16, 2011-094, 38486
F16, 2011-094, 38487
F16, 2011-094, 38488
F16, 2011-094, 38490
F16, 2011-094, 38491
F16, 2011-094, 38492
F16, 2011-094, 38493
F16, 2011-094, 38494
F16, 2011-094, 38495
F16, 2011-094, 38496
F16, 2011-095, 38497
F16, 2011-095, 38498
F16, 2011-095, 38499
F16, 2011-095, 38500
F16, 2011-095, 38501
F16, 2011-095, 38502
F16, 2011-095, 38504
F16, 2011-095, 38505
F16, 2011-095, 38506
F16, 2011-095, 38507
F16, 2011-095, 38508
F16, 2011-095, 38509
F16, 2011-095, 38510
F16, 2011-096, 38511
F16, 2011-096, 38512
F16, 2011-096, 38513
F16, 2011-096, 38514
F16, 2011-096, 38515
F16, 2011-096, 38516
F16, 2011-096, 38518
F16, 2011-096, 38519
F16, 2011-096, 38520
F16, 2011-096, 38521
F16, 2011-096, 38522
F16, 2011-096, 38523
F16, 2011-096, 38524
F16, 2011-097, 38525
F16, 2011-097, 38526
F16, 2011-097, 38527
